Data,tecnico,Batteria,Botte,Volume nominale (Litri),Acidità (%),Densità (°Brix),Livello (cm dal bordo sup botte),d Diametro testa (STIMA),D Diametro pancia (STIMA),L Lunghezza (STIMA),Spessore doghe (STIMA),Q Volume calcolato (Litri),Ic Indice di curvatura
2026-03-14,Enologica,A,1.0,15.0,10.6,62.4,6.0,31.0,35.0,38.0,3.2,17.90615239,0.1052631579
2026-03-14,Enologica,A,2.0,20.0,11.0,61.8,8.0,34.0,48.0,41.0,3.2,34.16638284,0.3414634146
2026-03-14,Enologica,A,3.0,30.0,9.8,59.7,6.0,38.0,42.0,46.0,3.2,35.63275605,0.08695652174
2026-03-14,Enologica,A,4.0,40.0,9.2,52.1,13.0,41.0,44.0,51.0,3.2,46.21635092,0.05882352941
2026-03-14,Enologica,A,5.0,50.0,5.8,29.3,8.0,43.0,47.0,53.0,3.2,55.21714488,0.07547169811
2026-03-14,Enologica,B,1.0,20.0,9.0,67.3,3.0,34.0,48.0,41.0,3.2,34.16638284,0.3414634146
2026-03-14,Enologica,B,2.0,30.0,10.0,64.3,4.0,38.0,42.0,46.0,3.2,35.63275605,0.08695652174
2026-03-14,Enologica,B,3.0,30.0,9.0,64.9,5.0,38.0,42.0,46.0,3.2,35.63275605,0.08695652174
2026-03-14,Enologica,B,4.0,40.0,9.4,59.2,7.0,41.0,44.0,51.0,3.2,46.21635092,0.05882352941
2026-03-14,Enologica,B,5.0,50.0,8.6,46.3,8.0,43.0,47.0,53.0,3.2,55.21714488,0.07547169811
2026-03-14,Enologica,B,6.0,60.0,6.6,32.3,10.0,46.0,49.0,55.0,3.2,65.17144585,0.05454545455
2026-03-14,Enologica,C,1.0,20.0,9.8,68.5,5.0,34.0,48.0,41.0,3.2,34.16638284,0.3414634146
2026-03-14,Enologica,C,2.0,30.0,11.0,60.0,10.0,38.0,42.0,46.0,3.2,35.63275605,0.08695652174
2026-03-14,Enologica,C,3.0,40.0,10.0,51.9,11.0,41.0,44.0,51.0,3.2,46.21635092,0.05882352941
2026-03-14,Enologica,C,4.0,50.0,8.4,51.1,16.0,43.0,47.0,53.0,3.2,55.21714488,0.07547169811
2026-03-14,Enologica,C,5.0,60.0,7.8,33.0,6.0,46.0,49.0,55.0,3.2,65.17144585,0.05454545455
2025-05-07,Enologica,A,1.0,15.0,10.4,60.0,,,,,,,
2025-05-07,Enologica,A,2.0,20.0,10.8,59.3,,,,,,,
2025-05-07,Enologica,A,3.0,30.0,8.8,56.7,,,,,,,
2025-05-07,Enologica,A,4.0,40.0,9.2,48.3,,,,,,,
2025-05-07,Enologica,A,5.0,50.0,5.2,26.4,,,,,,,
2025-05-07,Enologica,B,1.0,20.0,8.8,64.6,,,,,,,
2025-05-07,Enologica,B,2.0,30.0,9.0,60.5,,,,,,,
2025-05-07,Enologica,B,3.0,30.0,8.2,61.1,,,,,,,
2025-05-07,Enologica,B,4.0,40.0,8.8,53.0,,,,,,,
