Device Information
******************************
Device Type:	   Temp&RH Logger
Firmware Ver:   4.20
ID:   TE0324080327
Start Delay:   0 min
Log Interval:   7200 sec
Description:      Temperature Recording
Note:
All times shown are based on UTC+2 and 24-Hour clock [MM/dd/yyyy HH:mm:ss]

Logging Summary
******************************
First Point: 	06/09/2025 17:44:45
Stop Time:      09/12/2025 15:44:45
Number of Points:      1140
Trip Length:      94d 22h 0m 0s 
Start Mode:      Button Start
Stop Mode:      USB Stop
Max:        33.0C/71.7%RH
Min:        21.8C/47.0%RH
Average:        27.0C/59.4%RH
MKT:27.5C

Marked Events
******************************
N/A

Alarm Condition    	 ,Alarm Delay    	 ,Alarm Type    	 ,First Point Time        	 ,Time of Violations        	 ,No. of Violations        	 ,Status
******************************,******************************,******************************,******************************,******************************
Over 60.0C,00:00:00,--,00/00/00 00:00:00,00:00:00,0,OK
Below -30.0C,00:00:00,--,00/00/00 00:00:00,00:00:00,0,OK

Over 85%,00:00:00,--,00/00/00 00:00:00,00:00:00,0,OK
Below 0%,00:00:00,--,00/00/00 00:00:00,00:00:00,0,OK


Date,Time,Temperature(C),Humidity(%RH)
******************************,******************************,******************************,******************************
06/09/2025,17:44:45, 28.6,62.0
06/09/2025,19:44:45, 26.7,56.3
06/09/2025,21:44:45, 26.6,55.9
06/09/2025,23:44:45, 26.2,55.6
06/10/2025,01:44:45, 25.9,56.7
06/10/2025,03:44:45, 25.5,58.1
06/10/2025,05:44:45, 25.0,56.8
06/10/2025,07:44:45, 24.7,56.8
06/10/2025,09:44:45, 24.4,58.6
06/10/2025,11:44:45, 24.7,55.1
06/10/2025,13:44:45, 25.8,52.0
06/10/2025,15:44:45, 26.3,53.9
06/10/2025,17:44:45, 26.8,53.7
06/10/2025,19:44:45, 26.9,56.1
06/10/2025,21:44:45, 26.9,57.2
06/10/2025,23:44:45, 26.7,56.9
06/11/2025,01:44:45, 26.3,57.1
06/11/2025,03:44:45, 26.0,58.0
06/11/2025,05:44:45, 25.6,58.8
06/11/2025,07:44:45, 25.3,60.7
06/11/2025,09:44:45, 25.4,60.7
06/11/2025,11:44:45, 25.8,60.9
06/11/2025,13:44:45, 26.7,59.7
06/11/2025,15:44:45, 27.1,60.7
06/11/2025,17:44:45, 27.6,61.3
06/11/2025,19:44:45, 27.9,62.1
06/11/2025,21:44:45, 28.0,61.9
06/11/2025,23:44:45, 27.8,60.0
06/12/2025,01:44:45, 27.5,58.7
06/12/2025,03:44:45, 27.2,58.7
06/12/2025,05:44:45, 26.8,58.8
06/12/2025,07:44:45, 26.6,61.3
06/12/2025,09:44:45, 26.6,62.2
06/12/2025,11:44:45, 26.8,62.1
06/12/2025,13:44:45, 27.7,60.5
06/12/2025,15:44:45, 28.1,60.6
06/12/2025,17:44:45, 28.5,61.0
06/12/2025,19:44:45, 28.8,61.3
06/12/2025,21:44:45, 28.9,60.9
06/12/2025,23:44:45, 28.6,56.6
06/13/2025,01:44:45, 28.2,53.7
06/13/2025,03:44:45, 27.8,54.1
06/13/2025,05:44:45, 27.4,55.5
06/13/2025,07:44:45, 27.2,58.0
06/13/2025,09:44:45, 27.2,59.4
06/13/2025,11:44:45, 27.5,60.3
06/13/2025,13:44:45, 28.4,59.3
06/13/2025,15:44:45, 28.8,60.3
06/13/2025,17:44:45, 29.3,60.8
06/13/2025,19:44:45, 29.5,61.3
06/13/2025,21:44:45, 29.6,60.3
06/13/2025,23:44:45, 29.3,58.2
06/14/2025,01:44:45, 29.0,56.2
06/14/2025,03:44:45, 28.6,56.2
06/14/2025,05:44:45, 28.2,56.8
06/14/2025,07:44:45, 27.9,58.8
06/14/2025,09:44:45, 27.9,59.6
06/14/2025,11:44:45, 28.2,60.4
06/14/2025,13:44:45, 29.1,58.9
06/14/2025,15:44:45, 29.5,59.7
06/14/2025,17:44:45, 29.9,60.3
06/14/2025,19:44:45, 30.2,60.8
06/14/2025,21:44:45, 30.3,61.3
06/14/2025,23:44:45, 30.0,56.3
06/15/2025,01:44:45, 29.7,56.3
06/15/2025,03:44:45, 29.3,55.8
06/15/2025,05:44:45, 28.9,57.0
06/15/2025,07:44:45, 28.7,59.1
06/15/2025,09:44:45, 28.7,60.1
06/15/2025,11:44:45, 28.9,60.4
06/15/2025,13:44:45, 29.9,59.8
06/15/2025,15:44:45, 30.2,60.9
06/15/2025,17:44:45, 30.6,61.4
06/15/2025,19:44:45, 30.7,62.0
06/15/2025,21:44:45, 30.8,62.0
06/15/2025,23:44:45, 30.6,61.6
06/16/2025,01:44:45, 30.3,60.7
06/16/2025,03:44:45, 29.9,59.6
06/16/2025,05:44:45, 29.6,58.7
06/16/2025,07:44:45, 29.3,60.4
06/16/2025,09:44:45, 29.2,59.1
06/16/2025,11:44:45, 29.4,60.3
06/16/2025,13:44:45, 29.9,60.0
06/16/2025,15:44:45, 29.5,54.4
06/16/2025,17:44:45, 29.0,54.7
06/16/2025,19:44:45, 28.7,56.5
06/16/2025,21:44:45, 28.4,55.6
06/16/2025,23:44:45, 27.8,57.2
06/17/2025,01:44:45, 27.3,57.3
06/17/2025,03:44:45, 26.8,57.1
06/17/2025,05:44:45, 26.3,58.3
06/17/2025,07:44:45, 26.0,59.4
06/17/2025,09:44:45, 25.8,59.7
06/17/2025,11:44:45, 25.7,59.4
06/17/2025,13:44:45, 26.3,58.4
06/17/2025,15:44:45, 26.5,58.6
06/17/2025,17:44:45, 26.7,58.5
06/17/2025,19:44:45, 26.8,58.2
06/17/2025,21:44:45, 26.7,55.7
06/17/2025,23:44:45, 26.3,54.2
06/18/2025,01:44:45, 26.0,54.7
06/18/2025,03:44:45, 25.6,55.5
